FBgn0014930	CG2846	Gene Expression
FBgn0014931	CG2678	Gene Expression
FBgn0037531	CG10445	Gene Expression
FBgn0002542	lds	Gene Expression
FBgn0261453	scaRNA:MeU2-C41	Gene Expression
FBgn0000504	dsx	Gene Expression
FBgn0037533	CD98hc	Gene Expression
FBgn0010401	Os-C	Gene Expression
FBgn0259974	Sfp84E	Gene Expression
FBgn0037534	CG2781	Gene Expression
FBgn0267818	CR46143	Gene Expression
FBgn0267817	CR46142	Gene Expression
FBgn0037535	PIG-H	Gene Expression
FBgn0266598	Kmn2	Gene Expression
FBgn0037536	CG2698	Gene Expression
FBgn0037537	CG2767	Gene Expression
FBgn0040524	CG11052	Gene Expression
FBgn0037538	CG3223	Gene Expression
FBgn0037539	CG10435	Gene Expression
FBgn0037540	Pbp95	Gene Expression
FBgn0037541	CG2747	Gene Expression
FBgn0001255	ImpE3	Gene Expression
FBgn0037543	CG10903	Gene Expression
FBgn0037544	CG11035	Gene Expression
FBgn0010812	unc-45	Gene Expression
FBgn0266241	CR44936	Gene Expression
FBgn0262362	CG43060	Gene Expression
FBgn0263596	CG43618	Gene Expression
FBgn0262363	CG43061	Gene Expression
FBgn0037546	mAChR-B	Gene Expression
FBgn0086052	snoRNA:Me18S-G423	Gene Expression
FBgn0037547	CG7910	Gene Expression
FBgn0265418	CR44330	Gene Expression
FBgn0037548	CG7900	Gene Expression
FBgn0243512	puc	Gene Expression
FBgn0265419	CR44331	Gene Expression
FBgn0037549	CG7878	Gene Expression
FBgn0037550	CG9667	Gene Expression
FBgn0037551	Gie	Gene Expression
FBgn0051583	tRNA:Asn-GTT-1-10	Gene Expression
FBgn0011963	tRNA:Arg-ACG-1-6	Gene Expression
FBgn0011962	tRNA:Arg-ACG-1-7	Gene Expression
FBgn0011961	tRNA:Arg-ACG-1-8	Gene Expression
FBgn0011960	tRNA:Arg-ACG-1-9	Gene Expression
FBgn0011959	tRNA:Arg-ACG-1-10	Gene Expression
FBgn0001138	grn	Gene Expression
FBgn0262994	CR43302	Gene Expression
FBgn0262995	CR43303	Gene Expression
FBgn0261290	CheA84a	Gene Expression
FBgn0037552	CG7800	Gene Expression
FBgn0037553	CG18249	Gene Expression
FBgn0267111	CR45551	Gene Expression
FBgn0267110	CR45550	Gene Expression
FBgn0267109	CR45549	Gene Expression
FBgn0037554	DNApol-iota	Gene Expression
FBgn0037555	Ada2b	Gene Expression
FBgn0037556	CG9636	Gene Expression
FBgn0042182	CG18749	Gene Expression
FBgn0064126	CG33722	Gene Expression
FBgn0040528	CG15864	Gene Expression
FBgn0260386	mtg	Gene Expression
FBgn0037560	CR18228	Gene Expression
FBgn0010173	RpA-70	Gene Expression
FBgn0014861	Mcm2	Gene Expression
FBgn0037561	CG9630	Gene Expression
FBgn0010433	ato	Gene Expression
FBgn0265377	CR44318	Gene Expression
FBgn0037562	CG11671	Gene Expression
FBgn0037563	CG11672	Gene Expression
FBgn0051464	CG31464	Gene Expression
FBgn0051463	CG31463	Gene Expression
FBgn0037565	CG9626	Gene Expression
FBgn0037566	mRpL1	Gene Expression
FBgn0265351	nac	Gene Expression
FBgn0265101	Sgt1	Gene Expression
FBgn0037569	tex	Gene Expression
FBgn0263550	mir-4918	Gene Expression
FBgn0037570	CG11693	Gene Expression
FBgn0037571	CG11694	Gene Expression
FBgn0037572	CG11698	Gene Expression
FBgn0037573	CG7483	Gene Expression
FBgn0037574	Coq2	Gene Expression
FBgn0266742	CR45215	Gene Expression
FBgn0062412	Ctr1B	Gene Expression
FBgn0003129	Poxm	Gene Expression
FBgn0037576	Or85a	Gene Expression
FBgn0037577	CG7443	Gene Expression
